"filename", "language", "Markdown", "PostCSS", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\boundaries.mjs", "JavaScript", 0, 0, 53, 0, 0, 6, 8, 67
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\decorations.mjs", "JavaScript", 0, 0, 71, 0, 0, 0, 35, 106
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\fish.mjs", "JavaScript", 0, 0, 102, 0, 0, 2, 32, 136
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\fishMovement.mjs", "JavaScript", 0, 0, 88, 0, 0, 3, 38, 129
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\images\coral_icon.svg", "XML", 0, 0, 0, 0, 12, 1, 1, 14
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\images\favicon.svg", "XML", 0, 0, 0, 0, 20, 1, 1, 22
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\images\seaweed_icon.svg", "XML", 0, 0, 0, 0, 12, 1, 1, 14
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\index.html", "HTML", 0, 0, 0, 123, 0, 0, 44, 167
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\CCapture.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\CSS3DRenderer.js", "JavaScript", 0, 0, 140, 0, 0, 6, 78, 224
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\CanvasRenderer.js", "JavaScript", 0, 0, 638, 0, 0, 42, 423, 1103
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\MTLLoader.js", "JavaScript", 0, 0, 208, 0, 0, 45, 175, 428
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\OBJLoader.js", "JavaScript", 0, 0, 172, 0, 0, 24, 134, 330
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\OBJMTLLoader.js", "JavaScript", 0, 0, 187, 0, 0, 33, 142, 362
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\OrbitControls.js", "JavaScript", 0, 0, 305, 0, 0, 66, 212, 583
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\Projector.js", "JavaScript", 0, 0, 520, 0, 0, 31, 384, 935
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\TrackballControls.js", "JavaScript", 0, 0, 318, 0, 0, 9, 241, 568
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\TransformControls.js", "JavaScript", 0, 0, 674, 0, 0, 9, 311, 994
"c:\Users\Leinad\OneDrive - Department of Education\Documents\0 School\2026\Term 1\Digital Solutions\Final\aquarium-simulation\libs\Whammy.js", "JavaScript", 0, 0, 334, 0, 0, 42, 42, 418
